,c3_10_a_mean,c3_10_a_variance,c3_10_a_max,c3_10_a_min,c3_10_a_2max,c3_10_a_2min,c3_10_b_mean,c3_10_b_variance,c3_10_b_max,c3_10_b_min,c3_10_b_2max,c3_10_b_2min,c3_10_y_mean,c3_10_y_variance,c3_10_y_max,c3_10_y_min,c3_10_y_2max,c3_10_y_2min,c3_45_a_mean,c3_45_a_variance,c3_45_a_max,c3_45_a_min,c3_45_a_2max,c3_45_a_2min,c3_45_b_mean,c3_45_b_variance,c3_45_b_max,c3_45_b_min,c3_45_b_2max,c3_45_b_2min,t_0deg_940_mean,t_0deg_940_variance,t_0deg_940_max,t_0deg_940_min,t_0deg_940_2max,t_0deg_940_2min,t_40deg_920_960_avg_mean,t_40deg_920_960_avg_variance,t_40deg_920_960_avg_max,t_40deg_920_960_avg_min,t_40deg_920_960_avg_2max,t_40deg_920_960_avg_2min,t_0deg_400_770_avg_mean,t_0deg_400_770_avg_variance,t_0deg_400_770_avg_max,t_0deg_400_770_avg_min,t_0deg_400_770_avg_2max,t_0deg_400_770_avg_2min
c3_10_a_mean,1.0,-1.0,0.006,1.0,0.007,1.0,1.0,-1.0,0.004,1.0,0.003,1.0,-0.988,-1.0,-1.0,0.004,-1.0,0.005,0.446,-1.0,-0.976,0.999,-0.005,0.993,-1.0,-1.0,-1.0,0.992,0.003,0.978,-0.001,0.0,0.0,-0.002,0.001,-0.002,0.001,0.0,0.002,0.001,0.003,0.0,-0.002,0.0,-0.001,-0.001,-0.002,-0.003
c3_10_a_variance,-1.0,1.0,-0.002,-1.0,-0.002,-1.0,-1.0,1.0,-0.004,-1.0,-0.004,-1.0,0.988,1.0,1.0,-0.004,1.0,-0.005,-0.446,1.0,0.976,-0.999,0.004,-0.993,1.0,1.0,1.0,-0.992,-0.001,-0.977,0.001,-0.0,0.0,0.002,-0.0,0.002,-0.001,-0.0,-0.002,-0.0,-0.002,-0.0,0.002,-0.0,0.001,0.001,0.002,0.003
c3_10_a_max,0.006,-0.002,1.0,0.002,0.949,0.002,-0.001,-0.002,-0.066,0.002,-0.079,0.002,-0.0,-0.002,-0.001,-0.071,-0.001,-0.071,-0.136,-0.002,-0.015,-0.007,-0.062,-0.018,-0.001,-0.002,-0.002,0.016,0.277,0.028,-0.045,-0.003,-0.02,-0.046,-0.025,-0.073,0.118,-0.002,0.122,0.058,0.147,0.08,-0.103,-0.004,-0.058,-0.045,-0.09,-0.13
c3_10_a_min,1.0,-1.0,0.002,1.0,0.002,1.0,1.0,-1.0,0.004,1.0,0.004,1.0,-0.988,-1.0,-1.0,0.004,-1.0,0.005,0.446,-1.0,-0.976,0.999,-0.004,0.993,-1.0,-1.0,-1.0,0.992,0.001,0.977,-0.001,0.0,0.0,-0.002,0.0,-0.002,0.001,0.0,0.002,0.0,0.002,0.0,-0.002,0.0,-0.001,-0.001,-0.002,-0.003
c3_10_a_2max,0.007,-0.002,0.949,0.002,1.0,0.002,-0.0,-0.002,-0.069,0.002,-0.075,0.002,0.0,-0.002,-0.001,-0.064,-0.001,-0.069,-0.124,-0.002,-0.016,-0.004,-0.057,-0.015,-0.001,-0.002,-0.002,0.019,0.303,0.031,-0.03,-0.001,-0.005,-0.041,-0.01,-0.059,0.11,-0.002,0.116,0.053,0.139,0.073,-0.098,-0.002,-0.05,-0.045,-0.084,-0.126
c3_10_a_2min,1.0,-1.0,0.002,1.0,0.002,1.0,1.0,-1.0,0.004,1.0,0.004,1.0,-0.988,-1.0,-1.0,0.004,-1.0,0.005,0.447,-1.0,-0.976,0.999,-0.004,0.993,-1.0,-1.0,-1.0,0.992,0.001,0.977,-0.001,0.0,0.0,-0.002,0.0,-0.002,0.001,0.0,0.002,0.0,0.002,0.0,-0.002,0.0,-0.001,-0.001,-0.002,-0.003
c3_10_b_mean,1.0,-1.0,-0.001,1.0,-0.0,1.0,1.0,-1.0,0.013,1.0,0.013,1.0,-0.988,-1.0,-1.0,0.003,-1.0,0.004,0.449,-1.0,-0.975,0.999,-0.001,0.993,-1.0,-1.0,-1.0,0.992,0.007,0.979,-0.003,0.0,-0.001,-0.002,-0.001,-0.003,0.001,0.0,0.002,0.0,0.002,0.0,-0.0,0.0,0.0,-0.001,-0.001,-0.001
c3_10_b_variance,-1.0,1.0,-0.002,-1.0,-0.002,-1.0,-1.0,1.0,-0.004,-1.0,-0.004,-1.0,0.988,1.0,1.0,-0.004,1.0,-0.005,-0.446,1.0,0.976,-0.999,0.004,-0.993,1.0,1.0,1.0,-0.992,-0.001,-0.977,0.001,-0.0,0.0,0.002,-0.0,0.002,-0.001,-0.0,-0.002,-0.0,-0.002,-0.0,0.002,-0.0,0.001,0.001,0.002,0.003
c3_10_b_max,0.004,-0.004,-0.066,0.004,-0.069,0.004,0.013,-0.004,1.0,0.005,0.968,0.005,-0.017,-0.004,-0.005,-0.232,-0.005,-0.19,0.188,-0.004,0.051,0.005,0.258,0.006,-0.002,-0.004,-0.004,0.069,0.705,0.116,-0.156,0.001,-0.076,-0.073,-0.124,-0.159,0.001,-0.001,0.024,-0.003,0.003,-0.002,0.122,0.002,0.11,0.027,0.148,0.104
c3_10_b_min,1.0,-1.0,0.002,1.0,0.002,1.0,1.0,-1.0,0.005,1.0,0.005,1.0,-0.988,-1.0,-1.0,0.004,-1.0,0.005,0.447,-1.0,-0.976,0.999,-0.004,0.993,-1.0,-1.0,-1.0,0.992,0.001,0.977,-0.001,0.0,0.0,-0.002,0.0,-0.002,0.001,0.0,0.002,0.0,0.002,0.0,-0.002,0.0,-0.001,-0.001,-0.002,-0.003
